manufacturer,price,number_of_reviews,average_review_rating,sellers,cat,sub_cat,name,info,desc,reviews
460,1.8,5.0,4.4,1822,29,10,-5.889328,-0.98545915,-1.0026714,-1.5907106
1996,20.98,16.0,4.8,1822,7,138,-0.7865284,-1.2491866,-2.5688617,-0.85443026
1961,13.99,1.0,4.0,11,21,75,-0.096745566,-1.3289733,-2.011883,-1.8576097
298,34.99,1.0,5.0,1475,17,91,3.526313,-1.3146361,22.461107,2.1102376
2100,2.04,45.0,4.8,471,14,46,6.8174553,-1.1100212,-2.3633358,-2.6946805
1186,5.99,1.0,5.0,1077,12,2,-3.3616962,-0.5445319,-1.5957189,-1.1605898
1600,7.49,1.0,5.0,1822,13,81,-3.7586198,-1.1052773,-0.9458311,0.47666156
1821,9.88,1.0,4.0,235,5,128,-2.060877,5.650385,-1.4791845,-5.7582765
2168,68.8,1.0,5.0,1563,7,140,5.7961564,-1.6417469,-2.0010989,5.9348273
2246,3.69,1.0,4.0,81,14,22,1.6543826,5.7902923,-1.2312272,-2.7717845
987,16.93,36.0,4.0,1822,34,14,-0.34549442,-0.8536738,-2.1942315,-4.21375
357,5.99,4.0,4.5,1822,13,48,-1.2138437,-1.4200107,-2.568307,0.3005791
1015,10.99,2.0,5.0,1149,21,75,-4.1152825,-0.896531,0.20651822,-0.42188224
1076,14.99,5.0,4.4,394,40,151,1.579933,-0.94663113,-0.5802431,-3.0920162
1597,2.15,17.0,4.5,816,29,43,5.1775312,5.9520454,22.461107,-1.3624703
333,19.99,6.0,4.3,307,12,37,5.334763,-1.017461,-1.2911681,-0.65461946
1049,3.0,1.0,5.0,722,12,2,-3.2904005,-0.9069551,-1.6301233,-3.0817196
1118,9.76,1.0,4.0,1822,13,1,1.7723833,-0.9751949,-3.525642,-4.4659834
1485,3.99,1.0,5.0,81,13,60,-2.9349406,-1.4695702,-0.9924685,4.492201
868,2.25,46.0,4.1,1349,13,81,0.11925706,5.897633,22.461107,-3.0831437
1143,8.92,1.0,4.0,81,14,56,4.941062,-1.5333445,-1.8871826,3.2440305
2269,9.99,1.0,5.0,41,7,140,3.9402947,-0.72075045,-1.1863891,5.6575227
1159,3.99,3.0,4.0,1822,14,25,-0.77507937,-1.0665584,-1.8795681,-1.9650933
672,15.49,6.0,4.7,690,32,69,-8.578644,-1.4489449,-1.499368,-1.982773
2055,15.75,5.0,4.6,1822,5,72,-3.0848603,-1.4070381,-1.5600631,1.2080009
1169,7.95,1.0,5.0,1822,14,22,-1.5512158,-0.94580144,-1.8105778,-0.5667669
283,14.99,1.0,5.0,1822,40,151,3.496886,-1.0613068,-1.1747676,4.2321944
1082,9.99,1.0,5.0,1516,14,46,6.361044,-1.2237128,-0.65735507,-1.4593785
1714,31.96,2.0,5.0,1822,17,121,-0.15015808,-1.9183303,-0.23044915,5.0761356
1358,1.75,1.0,5.0,1822,9,51,-2.33519,-1.6324921,-2.104194,-1.4519098
1433,20.99,1.0,5.0,1822,7,140,1.4859403,-1.3064,-2.0987735,3.5348246
357,5.47,1.0,4.0,1822,34,80,-1.4889224,-1.2181305,-0.85737604,-4.4897995
1808,12.99,4.0,4.0,690,34,80,-0.19339341,-1.1682084,-0.76801866,-2.001358
1433,8.95,1.0,5.0,900,7,140,0.92524564,-1.4186198,-2.3628757,6.879982
2010,13.36,1.0,5.0,806,7,140,-1.1778952,-0.9736236,-2.4212437,3.7078433
1646,7.95,1.0,4.0,1354,14,145,2.4762762,-1.4277146,-1.5780785,5.144838
1243,1.69,3.0,5.0,469,17,142,-0.41553155,-0.7906632,-0.44143113,1.5814652
2158,28.9,1.0,5.0,1822,13,116,-1.4370749,-0.94666916,-2.3053584,1.3982451
1495,29.99,2.0,4.5,144,9,122,1.12948,-0.95568013,-2.0165813,-0.79833674
544,29.99,14.0,4.7,11,5,49,0.06864848,-1.1148572,-1.5153627,-3.2068837
1548,22.95,5.0,4.8,225,17,142,0.47245198,-1.5720078,-2.2413373,1.7910048
2329,1.75,1.0,5.0,1731,29,10,7.146562,6.0941653,0.3565718,4.42938
1948,12.2,2.0,5.0,1822,14,46,8.757013,-1.2106532,-2.3293707,1.9320976
544,2.99,12.0,4.5,81,5,49,-3.2032735,-1.4636911,-2.3539002,-0.0907088
845,13.67,1.0,4.0,212,34,80,1.5980879,-1.3892142,-1.8428646,-2.2558758
1642,3.59,12.0,4.7,523,12,2,5.301329,-1.2768646,-2.2486725,-2.188165
1249,11.99,1.0,4.0,874,7,140,-0.09583005,5.9184904,22.461107,5.356206
636,11.99,13.0,5.0,249,0,7,2.5640476,-1.815725,-1.8918444,2.3770847
1957,25.24,41.0,4.7,1040,14,56,-7.9461813,5.4745255,-3.3678515,-2.0318196
875,22.99,1.0,5.0,1822,40,151,1.9456011,-1.092942,-0.44787517,1.9017496
686,2.39,3.0,4.3,1822,0,29,0.8547717,-1.2465687,-2.1878273,0.9677727
1734,2.96,1.0,5.0,123,0,29,2.5762954,-1.6206094,-0.91155523,-3.831331
526,41.33,2.0,5.0,1399,7,140,0.48759165,-1.3793906,-1.5245417,-3.3371634
533,7.99,1.0,5.0,242,0,97,0.92869097,-1.3217018,-2.1439571,-0.14831096
240,42.94,3.0,4.0,81,17,93,-2.2373683,-1.7997062,-1.9908744,-0.84573215
215,2.84,111.0,4.4,1089,29,43,4.45327,-2.1650338,-1.900076,-3.6031427
991,11.2,1.0,5.0,1097,17,91,3.3683918,-1.6494708,-1.4440593,-4.8832374
2032,29.99,1.0,5.0,1368,13,116,5.037815,-1.3764617,-1.7503465,2.6317108
1995,11.53,2.0,5.0,1779,13,116,-3.0587614,-1.2546873,-1.7685779,1.1750736
1674,29.96,2.0,4.0,1822,12,2,1.7688175,-0.98319167,-0.94988865,-2.9410274
765,7.9,1.0,5.0,1822,17,93,-1.3336215,-1.460239,-0.8279456,1.4314877
262,12.25,1.0,5.0,652,12,37,-2.7828112,-0.9566984,-1.7731389,3.817562
440,24.99,1.0,5.0,1822,14,52,-1.7311616,-1.0139308,-1.0372833,2.8839417
404,12.99,1.0,4.0,1061,21,21,-0.49589273,-0.9516241,-2.4599273,-0.95098484
2226,4.71,1.0,5.0,1822,17,110,0.37568507,-1.4672523,-0.7703358,3.3963852
996,1.86,23.0,4.5,499,0,97,-0.13893129,-1.0879326,-1.6399688,0.18244945
1433,20.97,1.0,5.0,1822,7,140,-1.0309073,-1.3646144,-2.0242314,1.5265577
818,129.99,2.0,4.5,81,17,110,-4.17247,-1.0830748,-1.7078285,-2.7854664
2171,3.95,8.0,4.4,1822,14,46,-2.491197,-1.2664453,-1.8429112,-4.000419
539,14.99,30.0,4.7,1822,5,135,-5.3724484,5.601875,-1.8039571,-3.357561
1785,9.99,13.0,4.5,1822,32,69,2.614827,-1.413077,-1.8817205,-2.244978
334,4.99,4.0,4.0,1822,14,56,-1.4920166,-1.3309135,-1.7441199,-1.9154261
84,7.49,2.0,5.0,1822,29,10,-2.4397373,5.5613055,-1.43956,3.9244876
1567,7.75,2.0,5.0,248,9,122,1.7038147,-0.782215,-0.787051,3.720274
869,2.76,12.0,4.7,82,0,29,7.6814446,-1.8310605,-2.3825727,-1.8989589
295,18.4,40.0,4.1,1822,14,145,-4.8818216,-0.9313704,-2.1394734,-3.1835432
1433,6.75,1.0,4.0,1822,7,140,0.7910046,-1.1626924,-2.2884114,-0.12118632
1986,1.8,6.0,4.5,554,29,10,0.5599366,-1.2614205,-1.9631914,-1.5629404
116,4.75,1.0,5.0,615,13,116,2.16291,-1.2642409,-2.444184,-1.4091045
682,9.99,1.0,4.0,23,5,49,-3.1389685,5.9310055,-0.9814929,1.3549442
1038,13.99,1.0,5.0,1822,13,48,-2.5336833,-1.3131865,-1.7152443,-0.2040731
515,5.95,1.0,5.0,10,14,22,0.91333336,6.176974,-1.574824,4.1033816
1714,19.98,26.0,4.6,1822,17,121,1.697391,-1.8703727,-1.6648883,-2.9363043
1161,18.99,2.0,4.0,565,14,130,-2.3383832,-1.2236372,-1.7815202,-3.9370284
1653,28.2,2.0,5.0,363,7,140,-0.31996733,-0.8619782,-2.1963248,3.6576536
2025,5.98,7.0,4.0,312,0,34,-3.685978,-1.0873698,0.31058198,0.9907048
2108,31.27,1.0,5.0,233,7,140,6.203929,-1.3957357,-2.223291,-0.37337357
18,15.0,1.0,5.0,1822,32,69,5.11361,-1.2848523,-1.6549529,4.1963987
207,9.95,9.0,4.7,1428,40,151,4.028224,-1.0018927,-2.0073888,-2.92478
1098,2.95,5.0,4.2,1822,12,2,4.1532836,-1.1029408,-0.91366434,4.303847
127,132.95,1.0,5.0,880,7,140,2.147006,6.3384748,-2.1361442,-4.6091065
1620,6.6,20.0,4.3,31,0,29,1.0595958,-1.5790086,22.461107,0.46885836
527,4.0,1.0,5.0,1253,14,46,5.9610333,-1.2507151,-2.0393832,5.378957
599,9.99,1.0,5.0,81,7,140,-1.4906404,-1.5094832,-0.48937473,-3.3466368
2178,8.47,1.0,5.0,833,12,2,-4.637824,-0.8464557,22.461107,5.804468
1548,18.4,2.0,4.5,1822,17,142,-3.7636867,-1.5110815,-1.9978878,0.7593143
2170,10.99,1.0,5.0,363,7,140,2.4161553,-1.6040989,-2.0131876,4.045506
702,3.99,3.0,5.0,786,14,46,2.9150233,-0.9972606,-1.870427,3.5473769
1800,52.69,1.0,5.0,1822,7,140,-2.3645751,-0.9487298,-2.751864,-0.3262133
721,9.79,11.0,4.7,514,13,1,0.5586108,-1.4480958,-2.0275671,-1.1988705
144,4.99,1.0,5.0,1822,29,10,1.9845386,-0.96440846,-1.3401068,-1.6488205
721,9.75,5.0,4.8,514,5,49,1.6980544,-1.4324048,-2.0123518,0.85334504
2166,3.95,2.0,5.0,1286,40,151,-3.4915068,5.6915774,-0.6942256,-1.5285528
628,1.6,4.0,4.8,925,29,10,0.6543325,-1.2076116,-1.4157016,1.4584823
387,15.99,1.0,5.0,1822,14,25,7.539042,-1.174865,-1.5448767,2.2468927
613,38.98,1.0,5.0,81,7,140,-2.8516347,-1.1979781,-2.285187,-2.0678475
1249,24.0,1.0,5.0,217,5,137,-7.3427043,-0.99300116,0.9080393,-3.2357626
628,1.15,1.0,5.0,421,29,10,4.458854,-1.0194227,-2.3118777,5.728818
887,31.2,3.0,5.0,1822,5,128,1.0753738,5.565203,-0.5622352,-2.526375
1458,1.65,1.0,5.0,17,0,97,-0.3928699,-1.2066174,-1.8484263,-1.0045314
1275,5.8,23.0,4.6,81,34,66,-1.9661859,-0.95424384,-0.6323796,-2.4024923
437,29.99,7.0,4.6,1822,17,93,-2.182645,-1.2271911,-2.5327573,-3.0945585
1336,7.99,118.0,4.6,924,13,116,-5.819516,5.4395075,-1.9546864,-3.5214071
721,259.08,1.0,5.0,824,17,33,-1.2803026,-1.020382,22.461107,-2.1969714
2094,3.39,6.0,4.5,1822,14,22,2.2854445,-0.96412086,-0.86227715,-3.664359
887,299.73,1.0,5.0,1822,5,72,-1.9706366,5.615879,22.461107,0.35051432
1495,6.69,1.0,5.0,1822,31,118,-5.191113,4.912846,-2.0915725,-3.6183343
987,2.65,7.0,4.3,1822,5,49,2.9904473,5.754354,-2.2150288,-1.4150975
1667,3.49,25.0,4.2,1199,0,29,3.9458663,-1.6254399,-2.1448877,-4.2893853
1387,6.28,3.0,4.3,867,34,14,-1.4677129,-1.2824643,-3.580303,0.066449694
1513,1.29,1.0,5.0,1043,26,94,1.0438653,-0.80082214,-1.7282791,6.588049
2017,9.99,1040.0,4.5,81,5,135,2.9191856,5.7719574,-1.5769733,-4.1383467
1269,1.98,1.0,5.0,280,17,33,-3.2869203,-1.5794442,-1.3795389,-2.7925508
1886,4.99,1.0,5.0,41,7,140,4.5916953,-1.0883193,-1.1249626,2.9073007
1249,8.99,1.0,4.0,1367,5,49,0.63122636,-1.0529245,22.461107,-2.1345353
1533,22.08,22.0,4.7,1822,13,48,2.755982,-1.578097,-1.5607932,-1.2365474
437,93.77,1.0,4.0,824,7,140,2.5309937,-0.7463459,-1.1268322,5.4425764
1381,13.0,7.0,4.6,1288,40,151,2.0631075,-1.0559571,-1.83541,-0.39327356
626,1.0,17.0,4.2,1515,29,10,-0.32351938,-1.0526998,-2.010009,-1.9716654
2124,10.99,21.0,4.7,1720,1,123,0.18408893,-1.0396041,-1.9427198,-2.6631107
1370,6.5,1.0,5.0,932,40,151,-4.952311,-1.0882758,-2.878292,-1.5571235
291,3.81,5.0,4.8,709,12,2,5.0008407,-0.8868153,0.035780396,0.9739393
1790,54.9,1.0,5.0,1176,9,122,3.0398788,-1.2225633,-3.0010607,4.0463195
1801,30.36,1.0,4.0,1822,17,91,5.2596455,-1.3853488,22.461107,4.6684933
1279,8.97,1.0,5.0,1822,14,145,-2.6190143,-1.4060539,-2.2509496,7.112919
1275,16.86,72.0,4.6,877,1,124,-0.11934787,-1.5574187,-2.1051657,-3.1654258
317,5.49,1.0,4.0,43,0,29,1.3302019,-1.4382603,22.461107,-1.2045192
1249,29.99,10.0,4.5,1753,5,49,-0.7950094,-1.4279659,-1.1868608,-1.2820712
230,8.99,6.0,4.3,1579,5,72,-2.4730785,-1.6504292,-2.179711,-0.83427554
1622,3.4,1.0,5.0,526,17,93,2.249172,5.7184587,-1.2712351,-1.7768234
1400,2.7,1.0,4.0,944,12,2,-0.4016647,-0.79066193,-0.8065067,-1.9126201
1239,19.99,5.0,4.4,861,14,25,5.1998973,-1.1191889,-1.527256,0.118926674
1446,10.82,6.0,4.0,1627,13,116,0.32390672,-1.4509989,-1.5757886,-3.4779534
1143,17.95,1.0,5.0,81,1,123,-0.08089263,-1.7020662,-1.879472,5.524033
1334,4.93,6.0,4.7,1482,13,116,-4.6255517,6.0178194,1.0766423,-1.4179803
1118,46.8,1.0,5.0,450,40,151,2.6978304,5.7307935,-1.547902,4.836607
1642,12.99,2.0,4.5,81,7,140,2.3753612,-1.5205821,-2.7990124,-0.523826
1249,10.0,1.0,4.0,1248,13,116,-7.0472307,-1.1926482,-2.0343173,-2.6693144
162,9.99,1.0,5.0,119,34,14,4.0289392,-0.91720426,-2.600773,-1.9564663
358,14.95,2.0,5.0,526,17,121,1.3508589,-1.1598297,-0.4873434,0.8945848
825,18.84,1.0,5.0,1822,21,75,2.212777,-1.3368688,-1.8220756,-1.4776617
394,17.27,2.0,5.0,268,9,122,-3.389131,-0.6347864,3.5399895,-1.4581065
1647,1.29,2.0,5.0,716,0,29,4.1917944,5.919127,-0.07267738,0.5151968
2307,1.2,1.0,5.0,1683,0,29,-0.025950514,5.701589,-2.452285,-2.157661
1548,7.5,1.0,5.0,921,17,142,2.711791,-1.13736,-2.006759,1.1692414
1067,7.6,14.0,4.0,104,13,103,-6.5421863,5.897239,-0.9082006,-3.763216
1874,1.98,2.0,5.0,1054,29,43,-5.0496745,-0.96924406,-1.8831385,-2.2841957
544,4.95,7.0,4.7,1248,5,49,-0.06174563,-1.3979901,-1.8994287,0.8051958
1446,7.99,15.0,4.9,1822,13,116,3.5926008,-1.3268471,-0.8637497,2.6883717
2300,12.99,1.0,5.0,41,7,140,7.752856,-0.7722789,-1.4240742,-0.46104342
857,22.99,32.0,4.4,190,34,80,0.044003047,-1.49402,-1.2239242,-4.4895597
897,6.95,6.0,4.3,1428,40,151,-7.2278028,-0.74245554,-0.81573534,-1.1309396
2027,27.83,11.0,4.7,285,40,151,2.162497,-2.0145206,-0.45671144,-0.2937345
1455,6.31,1.0,5.0,1822,12,2,-2.9967642,-0.49996203,0.43798238,-2.219815
1388,26.99,1.0,5.0,1822,5,71,-3.2376268,-0.8615502,-1.1903467,-0.5361334
170,15.99,2.0,4.0,1822,17,110,0.9738736,0.09180411,-4.5822086,-0.50948745
